"Reference","Value","Qty","manufacturerName","manufacturerPartNumber","Description","mouserPartNumber","octopartUrl","digikeyPartnumber","digikeyPartNumber"
"C1 C2 C3 C4 C5 C6 C7 C8","CGA3E2X7R1E104K080AA","8","TDK","CGA3E2X7R1E104K080AA","100nF","810-CGA3E2X7R1E104K","https://octopart.com/cga3e2x7r1e104k080aa-tdk-25947977?r=sp","","445-5667-1-ND"
"C10 C11 C12 C13 C14 C15 C16","C1608X7S1A475K080AC","7","TDK","C1608X7S1A475K080AC","4.7uF","810-C1608X7S1A475KAC","https://octopart.com/c1608x7s1a475k080ac-tdk-28168672?r=sp","","445-14258-1-ND"
"C20 C21 C22 C23 C24","C0603C106M8PACTU","5","KEMET","C0603C106M8PACTU","10uF","80-C0603C106M8PACTU","https://octopart.com/c0603c106m8pactu-kemet-89187410?r=sp","","399-14945-1-ND"
"C30 C31 C32 C33 C34 C35 C36 C37","CGA3E1X7R1E105K080AC","8","TDK","CGA3E1X7R1E105K080AC","1uF","810-CGA3E1X7R1E105K","https://octopart.com/cga3e1x7r1e105k080ac-tdk-25947974?r=sp","","445-6931-1-ND"
"CM1 CM2 CM3 CM4 CONN3 CONN4 CONN8 F1 F2 F3 IC12 JP1","-- mixed values --","12","-- mixed values --","-- mixed values --","-- mixed values --","NA","-- mixed values --","",""
"CONN1","217179-0001","1","Molex","217179-0001","USB-C Receptable","538-217179-0001","https://octopart.com/217179-0001-molex-117190526?r=sp","","900-2171790001CT-ND"
"CONN2","1024TR","1","KeyStone","1024TR","AA-BatteryHolder","534-1024TR","https://octopart.com/1024tr-keystone-19726988?r=sp","","36-1024CT-ND"
"CONN5","73391-0080","1","Molex","73391-0080","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","538-73391-0080","https://octopart.com/73391-0080-molex-776539?r=sp&pdp=73391-0080-molex-776539&currency=EUR","","WM4088-ND"
"CONN6","2-1734839-4","1","TE Connectivity","2-1734839-4","ePaper","571-2-1734839-4","https://octopart.com/2-1734839-4-te+connectivity-40196932?r=sp","","A100299CT-ND"
"CONN7","SM04B-SRSS-TB(LF)(DN)(P)","1","Sparkfun - JST","SM04B-SRSS-TB(LF)(DN)(P)","Qwiic","306-SM04BSRSSTBLFDNP","https://octopart.com/sm04b-srss-tb%28lf%29%28dn%29%28p%29-jst-154671066?r=sp","","455-SM04B-SRSS-TBCT-ND"
